ID,name,kana,description,URL,Facebook,Instagram,Twitter,image,date,name
1,ADAMat,アダムアット,・2011年12月キーボーディスト、ADAM at（本名の TAMADAを逆から読むとADAM atになることから命名)を中⼼に静岡県浜松市のライヴハウスでインストゥルメンタル・セッション・バンドとして活動を開始。
・2014年1月22日 1stミニアルバム「Silent Hill」をインディーズでリリース。発売翌週に追加プレスされる程の反響を呼ぶ。
・2015年1月21日 1stフルアルバム「CLOCK　TOWER」でビクターエンタテインメントよりメジャー・デビュー。同年NHKプロ野球放送のテーマ曲として書き下ろした「六三四」は2015年より5年連続でテーマ曲として採用される。
・2016年1月20日 2stフルアルバム「スウィートホーム」リリース。タワーレコード年間ジャズ・セールス・チャートにおいて日本人アーティストとして上原ひろみに続き2位を獲得。
・2017年1月25日 3rdフルアルバム「Echo Night」をリリースし、タワーレコード年間ジャズ・セールス・チャートにおいて日本人アーティスト1位を獲得。また7月26日にはPHONO TONESとのスプリットアルバム「Dr.Jekyll」と「Mr.Hyde」をそれぞれリリース。
・2018年5月9日 4thフルアルバム「サイコブレイク」リリース。タワーレコード年間ジャズ・セールス・チャートにて日本人アーティストとして2年連続1位を獲得。6月30日には静岡県浜松市にて野外フェス「INST-ALL FESTIVAL2018」を開催。3000人以上を動員する。
・2019年6月19日、5thフルアルバム「トワイライトシンドローム」リリース決定。2019年7月7日「INST-ALL FESTIVAL 2019」開催決定。
FUJI ROCK FESTIVAL2019にも出演し、ライブベストアクト2位に選出される。
・2020年5月27日、6th「零」をリリース。タワーレコード年間ジャズ・セールス・チャートにて3位、日本人アーティストとして1位を獲得。
数多くの国内外のフェスティヴァルにも出演する他、テレビ、ラジオのCM音楽やテーマ曲を多数手掛ける。
インストシーンの普及を図るべく、静岡SBSラジオ「ADAM atの詞がないラジオ」とレギュラー番組を担当。",http://adamat.info/,https://www.facebook.com/adamat1026,https://www.instagram.com/adamat1026,https://twitter.com/ADAMat1026,img/ADAM_at1.jpg,2021-08-28,ADAMat
2,韻シスト,インシスト,"生々しく独創的でグルーヴィーなサウンドと極上のライブパフォーマンスが圧倒的な評価を受け続ける、大阪をベースに活動するファンキーグルーヴマスターと称される唯一無二のヒップホップバンド。数度のメンバー・チェンジを経て、2 MC(BASI, サッコン)、Gtr. (TAKU)、Bass (Shyoudog)、Drs.(TAROW-ONE)からなる鉄壁の現メンバーとなる。1998年の結成当初から大阪を拠点として活動し、日本におけるヒップホップ・バンドのパイオニア的存在として、またミュージシャンズ・ミュージシャンとして高い評価を受け続けている。2001年3月、デビュー作となるミニ・アルバム「ONE DAY」(RD RECORDS) をリリース。以来、これまでに5枚のフル・アルバム、4枚のミニアルバム、4枚のシングルをリリース。Shyoudog、TAKU、TAROW-ONEからなる韻シストBANDとしても1枚のアルバムをリリースしている。その他、客演も多数。2016年にはPUSHIMが主催するレーベル“Groovillage”へ合流。6月15日には通算6枚目、約2年8ヶ月振りとなるオリジナル・アルバム「CLASSIX」のリリース。偶数月には大阪、東京での主催イベント「NeighborFood」も開催中。評判が評判を呼び満員御礼で継続開催されるなど、大阪、東京を中心に各地で韻シスト・マニアが確かな足取りで増殖中。2017年7月には、新たな韻シストサウンドを縦横無尽に展開した意欲作「Another Day」をリリース。2018年2月にはPUSHIMとのコラボ・ミニアルバム「TO THE NEXT」をリリース。6月にはバンド結成20周年を記念し、地元なんばHatchでの3daysスペシャルイベントを豪華ゲストを迎え大成功させた。そして、同年8月には20周年記念アルバム「IN-FINITY」を、2019年2月には初のライブ作品「NEW ALBUM IN-FINITY RELEASE TOUR 2018 at UMEDA CLUB QUATTRO」(DVD＋CD)を立て続けにリリース。2019年4月には、超満員の大阪城野外音楽堂で初の主催野外フェス“OSAKA GOOD VIBES”を開催。また、８月には早くもミニアルバム「SHINE」をリリースする。",http://www.in-sist.com/,https://www.facebook.com/%E9%9F%BB%E3%82%B7%E3%82%B9%E3%83%88-471714619598564/,https://www.instagram.com/in_sistagram,https://twitter.com/insist_official,img/insisuto_1.jpg,2021-08-28,韻シスト
